reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
24,80,48,0,0,0,22,10.424780399996962,11.388797999999952,11.388797999999952,11.438748399999895,l,2.444663900001615,None,3,001,2023-11-22_22h30.00.513,DelayDiscounting,2023.1.3,60.15001413570998,
1,11,8,0,1,1,12,13.855814499998814,14.856190099999367,14.856190099999367,14.856190099999367,l,1.6350415000051726,None,3,001,2023-11-22_22h30.00.513,DelayDiscounting,2023.1.3,60.15001413570998,
27,50,21,0,2,2,2,16.52328529999795,17.523706699998,17.523706699998,17.523706699998,l,4.180243300001166,None,3,001,2023-11-22_22h30.00.513,DelayDiscounting,2023.1.3,60.15001413570998,
17,56,87,0,3,3,11,21.72441379999873,22.70833610000045,22.70833610000045,22.724845699998696,t,2.7810698000030243,None,3,001,2023-11-22_22h30.00.513,DelayDiscounting,2023.1.3,60.15001413570998,
15,35,13,0,4,4,1,25.509002099999634,26.492681199997605,26.492681199997605,26.509389499999088,l,2.077814900003432,None,3,001,2023-11-22_22h30.00.513,DelayDiscounting,2023.1.3,60.15001413570998,
26,86,57,0,5,5,18,28.59304820000034,29.593934399999853,29.593934399999853,29.593934399999853,l,5.505010000004404,None,3,001,2023-11-22_22h30.00.513,DelayDiscounting,2023.1.3,60.15001413570998,
36,43,50,0,6,6,9,35.12801249999757,36.11217620000025,36.11217620000025,36.1286371999995,t,4.46629390000453,None,3,001,2023-11-22_22h30.00.513,DelayDiscounting,2023.1.3,60.15001413570998,
59,65,70,0,7,7,21,40.59610640000028,41.580471999997826,41.580471999997826,41.59684189999825,t,3.014159300004394,None,3,001,2023-11-22_22h30.00.513,DelayDiscounting,2023.1.3,60.15001413570998,
8,40,10,0,8,8,8,44.61388529999749,45.59768509999776,45.59768509999776,45.614610900000116,l,1.3905070000000705,None,3,001,2023-11-22_22h30.00.513,DelayDiscounting,2023.1.3,60.15001413570998,
73,79,33,0,9,9,24,47.01467489999777,47.99852789999932,47.99852789999932,48.0151337999996,t,1.4160761000021012,None,3,001,2023-11-22_22h30.00.513,DelayDiscounting,2023.1.3,60.15001413570998,
37,23,64,0,10,10,14,49.431763699998555,50.43239989999711,50.43239989999711,50.43239989999711,t,1.2998674000045867,None,3,001,2023-11-22_22h30.00.513,DelayDiscounting,2023.1.3,60.15001413570998,
19,69,25,0,11,11,10,51.74904709999828,52.74991289999889,52.74991289999889,52.74991289999889,l,2.248742800002219,None,3,001,2023-11-22_22h30.00.513,DelayDiscounting,2023.1.3,60.15001413570998,
5,34,20,0,12,12,23,55.01680479999777,56.017305999997916,56.017305999997916,56.017305999997916,l,2.2484522000013385,None,3,001,2023-11-22_22h30.00.513,DelayDiscounting,2023.1.3,60.15001413570998,
54,59,121,0,13,13,7,58.28433949999817,59.26827839999896,59.26827839999896,59.28466370000024,t,1.2415662999992492,None,3,001,2023-11-22_22h30.00.513,DelayDiscounting,2023.1.3,60.15001413570998,
77,93,42,0,14,14,13,60.5353013999993,61.535404299997026,61.535404299997026,61.535404299997026,t,1.7676645999999892,None,3,001,2023-11-22_22h30.00.513,DelayDiscounting,2023.1.3,60.15001413570998,
9,78,23,0,15,15,15,63.318808299998636,64.31945579999956,64.31945579999956,64.31945579999956,l,1.1152373000040825,None,3,001,2023-11-22_22h30.00.513,DelayDiscounting,2023.1.3,60.15001413570998,
49,60,89,0,16,16,4,65.45275889999903,66.45333359999859,66.45333359999859,66.45333359999859,t,1.8104526000024634,None,3,001,2023-11-22_22h30.00.513,DelayDiscounting,2023.1.3,60.15001413570998,
94,98,123,0,17,17,17,68.28705259999697,69.27099559999988,69.27099559999988,69.28757719999703,t,1.244582300001639,None,3,001,2023-11-22_22h30.00.513,DelayDiscounting,2023.1.3,60.15001413570998,
30,37,90,0,18,18,19,70.53757190000033,71.52169769999819,71.52169769999819,71.53805219999776,t,1.4665151000044716,None,3,001,2023-11-22_22h30.00.513,DelayDiscounting,2023.1.3,60.15001413570998,
67,75,119,0,19,19,5,73.00475499999811,73.98872819999815,73.98872819999815,74.00530269999945,t,1.3772688000026392,None,3,001,2023-11-22_22h30.00.513,DelayDiscounting,2023.1.3,60.15001413570998,
11,30,7,0,20,20,0,75.38885819999996,76.37258329999895,76.37258329999895,76.38935019999917,l,1.2858359000019846,None,3,001,2023-11-22_22h30.00.513,DelayDiscounting,2023.1.3,60.15001413570998,
12,78,36,0,21,21,20,77.68959859999813,78.67311079999854,78.67311079999854,78.69023339999694,t,1.0110750999992888,None,3,001,2023-11-22_22h30.00.513,DelayDiscounting,2023.1.3,60.15001413570998,
25,46,66,0,22,22,16,79.70687149999867,80.70717499999955,80.70717499999955,80.70717499999955,t,1.5704480000022158,None,3,001,2023-11-22_22h30.00.513,DelayDiscounting,2023.1.3,60.15001413570998,
78,80,162,0,23,23,6,82.30720229999861,83.29139909999867,83.29139909999867,83.30785259999902,t,1.5887694000048214,None,3,001,2023-11-22_22h30.00.513,DelayDiscounting,2023.1.3,60.15001413570998,
40,55,62,0,24,24,3,84.90834829999949,85.9088488999987,85.9088488999987,85.9088488999987,t,1.720524700001988,None,3,001,2023-11-22_22h30.00.513,DelayDiscounting,2023.1.3,60.15001413570998,
